period,n,n_positive,rate,slice,finalist
2024-01,18129,285.0,0.015720668542114843,baseline,S3_H2_new_ai_title
2024-04,4691,134.0,0.028565337881048817,baseline,S3_H2_new_ai_title
2026-03,19740,1597.0,0.08090172239108409,baseline,S3_H2_new_ai_title
2026-04,25577,2130.0,0.08327794502873676,baseline,S3_H2_new_ai_title
2024-04,4691,134.0,0.028565337881048817,slice_a_arshkon_only_2024,S3_H2_new_ai_title
2026-03,19740,1597.0,0.08090172239108409,slice_a_arshkon_only_2024,S3_H2_new_ai_title
2026-04,25577,2130.0,0.08327794502873676,slice_a_arshkon_only_2024,S3_H2_new_ai_title
2024-01,7419,142.0,0.015688308361114484,slice_b_metro_balanced,S3_H2_new_ai_title
2024-04,1609,49.0,0.025801785804405324,slice_b_metro_balanced,S3_H2_new_ai_title
2026-03,10151,894.0,0.08151007084914272,slice_b_metro_balanced,S3_H2_new_ai_title
2026-04,13482,1174.0,0.0844578996885458,slice_b_metro_balanced,S3_H2_new_ai_title
2024-01,15186,209.0,0.013762676149084684,slice_c_no_aggregator,S3_H2_new_ai_title
2024-04,4261,124.0,0.029101149964796996,slice_c_no_aggregator,S3_H2_new_ai_title
2026-03,16424,1340.0,0.0815879201169021,slice_c_no_aggregator,S3_H2_new_ai_title
2026-04,21185,1730.0,0.08166155298560301,slice_c_no_aggregator,S3_H2_new_ai_title
2024-01,17235,258.0,0.014969538729329853,slice_d_no_multi_location,S3_H2_new_ai_title
2024-04,4575,127.0,0.027759562841530055,slice_d_no_multi_location,S3_H2_new_ai_title
2026-03,18113,1419.0,0.07834152266328051,slice_d_no_multi_location,S3_H2_new_ai_title
2026-04,23860,1932.0,0.0809723386420788,slice_d_no_multi_location,S3_H2_new_ai_title
