column,source,source_platform,null_rate
asaniczka_skills,kaggle_arshkon,linkedin,1.0
asaniczka_skills,scraped,indeed,1.0
asaniczka_skills,scraped,linkedin,1.0
company_id_kaggle,kaggle_asaniczka,linkedin,1.0
company_id_kaggle,scraped,indeed,1.0
company_id_kaggle,scraped,linkedin,1.0
company_industry,kaggle_asaniczka,linkedin,1.0
company_size,kaggle_asaniczka,linkedin,1.0
company_size,scraped,linkedin,1.0
company_size_category,kaggle_asaniczka,linkedin,1.0
company_size_category,scraped,indeed,1.0
company_size_raw,kaggle_asaniczka,linkedin,1.0
company_size_category,scraped,linkedin,1.0
company_size_raw,scraped,linkedin,1.0
posting_age_days,kaggle_arshkon,linkedin,1.0
skills_raw,scraped,indeed,1.0
posting_age_days,kaggle_asaniczka,linkedin,1.0
query_tier,kaggle_asaniczka,linkedin,1.0
query_tier,kaggle_arshkon,linkedin,1.0
scrape_week,kaggle_arshkon,linkedin,1.0
scrape_date,kaggle_asaniczka,linkedin,1.0
scrape_date,kaggle_arshkon,linkedin,1.0
real_employer,scraped,indeed,1.0
search_location,kaggle_arshkon,linkedin,1.0
scrape_week,kaggle_asaniczka,linkedin,1.0
search_location,kaggle_asaniczka,linkedin,1.0
search_metro_region,kaggle_asaniczka,linkedin,1.0
search_metro_region,kaggle_arshkon,linkedin,1.0
search_metro_name,kaggle_arshkon,linkedin,1.0
search_metro_id,kaggle_asaniczka,linkedin,1.0
search_metro_id,kaggle_arshkon,linkedin,1.0
seniority_native,scraped,indeed,1.0
skills_raw,scraped,linkedin,1.0
work_type,kaggle_asaniczka,linkedin,1.0
seniority_raw,scraped,indeed,1.0
search_query,kaggle_arshkon,linkedin,1.0
real_employer,kaggle_arshkon,linkedin,0.9972734970364098
posting_age_days,scraped,linkedin,0.9845082486128179
date_posted,scraped,linkedin,0.9845082486128179
skills_raw,kaggle_arshkon,linkedin,0.9816511430990685
real_employer,kaggle_asaniczka,linkedin,0.979823929261914
real_employer,scraped,linkedin,0.956652887945481
yoe_extracted,scraped,indeed,0.8931967273531363
yoe_extracted,kaggle_asaniczka,linkedin,0.8736091290061476
yoe_extracted,scraped,linkedin,0.8500726175846274
yoe_extracted,kaggle_arshkon,linkedin,0.7969686706181203
company_industry,scraped,indeed,0.6663226947740841
