title_norm,n,category
ai engineer,197,ai_engineering
artificial intelligence engineer,123,ai_engineering
senior ai engineer,100,ai_engineering
generative ai engineer,45,ai_engineering
applied ai engineer,29,ai_engineering
lead ai engineer,25,ai_engineering
principal ai engineer,24,ai_engineering
agentic ai engineer,21,ai_engineering
full stack ai engineer,16,ai_engineering
ai agent engineer,15,ai_engineering
mlops engineer,20,ml_infrastructure
machine learning platform engineer,4,ml_infrastructure
machine learning engineer (mlops),2,ml_infrastructure
senior mlops / devops engineer,2,ml_infrastructure
staff software engineer machine learning platform,2,ml_infrastructure
machine learning engineer | mlops & scalable systems,2,ml_infrastructure
senior ai/machine learning platform engineer,2,ml_infrastructure
devops/mlops engineer,2,ml_infrastructure
senior machine learning platform engineer,2,ml_infrastructure
staff mlops engineer,2,ml_infrastructure
data engineer,601,data_engineering
senior data engineer,405,data_engineering
lead data engineer,79,data_engineering
staff data engineer,30,data_engineering
data engineer 2,27,data_engineering
aws data engineer,25,data_engineering
data engineer 3,24,data_engineering
principal data engineer,24,data_engineering
data platform engineer,23,data_engineering
azure data engineer,18,data_engineering
platform engineer,27,platform_engineering
data platform engineer,23,platform_engineering
ai platform engineer,21,platform_engineering
senior platform engineer,18,platform_engineering
cloud platform engineer,14,platform_engineering
senior cloud platform engineer,11,platform_engineering
staff platform engineer,10,platform_engineering
senior ai platform engineer,9,platform_engineering
senior data platform engineer,8,platform_engineering
power platform engineer,6,platform_engineering
site reliability engineer,144,reliability_engineering
senior site reliability engineer,98,reliability_engineering
reliability engineer,53,reliability_engineering
senior reliability engineer,24,reliability_engineering
site reliability engineer (site reliability engineer),13,reliability_engineering
staff site reliability engineer,12,reliability_engineering
site reliability engineer 2,9,reliability_engineering
lead site reliability engineer,7,reliability_engineering
site reliability engineer 3,6,reliability_engineering
principal site reliability engineer,6,reliability_engineering
devsecops engineer,59,security_engineering
senior devsecops engineer,20,security_engineering
ai security engineer,9,security_engineering
lead devsecops engineer,3,security_engineering
junior devsecops engineer,3,security_engineering
principal devsecops engineer,2,security_engineering
senior ai security engineer,2,security_engineering
senior devsecops software engineer,2,security_engineering
devsecops engineer senior,2,security_engineering
devsecops engineer with security clearance,2,security_engineering
cloud engineer,136,cloud_engineering
senior cloud engineer,55,cloud_engineering
cloud infrastructure engineer,24,cloud_engineering
aws cloud engineer,18,cloud_engineering
azure cloud engineer,18,cloud_engineering
senior azure cloud engineer,12,cloud_engineering
principal cloud engineer,10,cloud_engineering
staff cloud engineer,7,cloud_engineering
senior cloud infrastructure engineer,6,cloud_engineering
cloud engineer i,6,cloud_engineering
full stack engineer,312,frontend_fullstack
full stack developer,168,frontend_fullstack
java full stack developer,114,frontend_fullstack
senior full stack engineer,110,frontend_fullstack
frontend developer,92,frontend_fullstack
full stack software engineer,87,frontend_fullstack
senior full stack developer,55,frontend_fullstack
full stack java developer,43,frontend_fullstack
senior software engineer full stack,39,frontend_fullstack
.net full stack developer,37,frontend_fullstack
senior backend engineer,74,backend
backend developer,42,backend
backend engineer,39,backend
java backend developer,33,backend
senior software engineer backend,33,backend
backend software engineer,23,backend
software engineer backend,22,backend
senior software engineer - backend,17,backend
software engineer - backend,14,backend
staff software engineer - backend,11,backend
mobile engineer,40,mobile
senior android engineer,22,mobile
senior ios engineer,18,mobile
android engineer,16,mobile
senior mobile engineer,14,mobile
ios engineer,13,mobile
hvac mobile engineer,6,mobile
staff ios engineer,5,mobile
staff android engineer,5,mobile
react native engineer,4,mobile
embedded software engineer,142,embedded_firmware
senior embedded software engineer,82,embedded_firmware
principal embedded software engineer,17,embedded_firmware
staff embedded software engineer,16,embedded_firmware
firmware engineer,11,embedded_firmware
senior firmware engineer,9,embedded_firmware
embedded software engineer - viasat government,6,embedded_firmware
senior embedded firmware engineer,4,embedded_firmware
autosar embedded software engineer,4,embedded_firmware
lead embedded software engineer,4,embedded_firmware
test engineer,171,qa_testing
quality assurance engineer,159,qa_testing
quality assurance automation engineer,66,qa_testing
senior quality assurance engineer,55,qa_testing
automation engineer,42,qa_testing
software test engineer,35,qa_testing
mobile apps test automation engineer,31,qa_testing
senior test engineer,30,qa_testing
software development engineer in test (sdet),28,qa_testing
test engineer 2,25,qa_testing
ai research engineer,5,data_science
machine learning research engineer,4,data_science
senior machine learning research engineer,2,data_science
data scientist / machine learning engineer,2,data_science
forward deployed ai engineer/data scientist,2,data_science
senior data scientist full stack,2,data_science
machine learning engineer / data scientist (databricks & snowflake),2,data_science
senior staff ai research engineer,1,data_science
data scientist/machine learning engineer,1,data_science
senior data scientist / machine learning engineer,1,data_science
staff backend engineer - blockchain,1,blockchain_crypto
principal java engineer - digital assets (blockchain),1,blockchain_crypto
blockchain & ai software lead engineer (payments) vice president,1,blockchain_crypto
senior full stack engineer - web3,1,blockchain_crypto
staff full stack engineer - web3,1,blockchain_crypto
founding engineer (blockchain/backend),1,blockchain_crypto
lead principal blockchain scala software engineer,1,blockchain_crypto
staff software engineer web3,1,blockchain_crypto
software engineer - smart contract bridge,1,blockchain_crypto
c++ robotics engineer/ software engineer i,1,robotics
